POSTE,RR
56166005,1314.9
56185001,1078.7
56186003,760.9
56240003,1010.6999999999999
56243001,1063.6
57019001,1024.8
57039001,808.7
57119001,852.7
57168001,845.2
57251001,717.7
57253001,433.6
57322001,854.6
57357002,820.4
57395001,858.4
57465001,782.4
57469002,677.1
57489001,1036.0
57509002,961.4
57524001,788.4
57550001,1043.4
57557001,908.9
57587003,830.0
57623003,1242.8
57644001,885.9
57730001,927.6
57732001,804.4
57740001,1022.0
58019001,939.7
58023001,943.1
58061001,804.4
58062001,1182.8
58079004,646.8
58104001,829.3
58106005,1220.6
58132001,727.6
58145002,955.7
58148001,771.9
58149001,1038.7
58160001,780.5
58177001,901.5
58199001,1144.6
58218006,824.2
58264001,712.6
58304005,768.7
59178001,782.5
59343001,797.7
59392001,1038.9
59512001,940.8
59534001,1023.2
59580003,986.8000000000001
59604001,781.8
59606004,817.4
59647001,1205.1
60040001,787.6
60107001,769.1
60260001,862.2
60276001,719.6
60322001,729.8
60363001,773.4
60382001,773.1
60445001,811.6
60500004,739.6
60518001,826.0
60555002,621.6
60566001,875.2
60623001,927.0
60639001,692.2
60652001,915.6
61001001,853.6
61006005,807.0
61124001,1074.9
61169003,1011.4
61179001,956.2
61214002,735.6
61275001,877.3
61328001,957.0
61345003,815.7
61369001,1272.6
61377001,1344.0
61387001,973.5
61404001,837.1
61426001,888.9
61464001,925.5
61479001,809.7
61483002,923.3
61485002,913.6
61491002,809.6
62044001,1382.7
62054001,978.3
62076002,1647.1
62160001,1196.5
62298001,739.3
62333001,1409.8
62468001,1153.3
62516002,818.7
62548002,947.5
62613001,1458.0
62685001,1309.0
62784001,1047.0
62826001,1152.7
62873001,696.4
63003004,704.6
63006002,1327.7
63038002,1881.2
63077001,1466.8
63089001,551.6
63098001,1966.5
63113001,514.6
63117001,979.5
63125002,712.7
63129001,1364.6
63132002,860.0
63157001,729.2
63163001,1112.3
63178001,541.6
63189005,1415.9
63222001,607.2
63223001,768.4
63236003,2640.4
63263005,1153.8
63281001,987.4
63282001,539.8
63295001,741.8
63298001,1187.3
63319002,1169.9
63320001,918.7
63345002,784.0
63353003,945.4
63354004,865.0
63382001,715.9
63393001,1120.1
63399002,1112.0
63417001,793.7
63426001,1376.8
63451001,1102.2
64006001,1655.8
64010002,1258.8
64024001,1737.3
64040400,783.9
64068001,1377.2
64092002,1864.6
64109001,1354.5
64123001,1630.6
64155001,1300.7
64160001,1833.7
64189001,1591.2
64233001,1170.5
64238001,1417.4
64301002,1360.6
64310001,1486.6
64316001,1822.2
64316003,1976.5
64316400,1252.0
64320003,1875.3
64320404,198.2
64324002,1469.4
64331002,1280.0
64342001,1720.4
64379001,1468.6
64416001,1485.4
64422007,1640.7
64430003,1383.3
64450001,1229.5
64453002,1357.7
64480001,1339.4
64537001,1478.8
